company_name,founded_year,company_age,headquarters,country,region,total_funding_usd,total_funding_millions,valuation_usd,valuation_billions,revenue_arr_usd,revenue_arr_millions,revenue_multiple,funding_stage,funding_efficiency,num_founders,num_products,num_investors,is_unicorn,tagline,target_market
MiniMax,2021,5,"Shanghai, China",China,Asia Pacific,1150000000,1150.0,12800000000.0,12.8,,,,Mega Round ($500M+),11.13,4,8,7,True,Intelligence with Everyone,"Global consumers (B2C-first approach), enterprise developers via Open API Platform. Products serve tens of millions of users across text, audio, video, and music applications in 200+ countries"
Luma AI,2021,5,"Palo Alto, California",United States,North America,1000000000,1000.0,4000000000.0,4.0,8000000.0,8.0,500.0,Mega Round ($500M+),4.0,3,7,10,True,Dream Machine - generate realistic videos from text,"Creative industries including filmmaking, gaming, advertising, and design. Studios, brands, and individual creators. Embedded in Adobe products"
Runway,2018,8,"New York, NY",United States,North America,544500000,544.5,3000000000.0,3.0,,,,Mega Round ($500M+),5.51,3,7,8,True,Advancing creativity with AI,"Professional filmmakers, video creators, designers, marketers, and creative professionals in entertainment, advertising, and media"
Synthesia,2017,9,"London, UK",United Kingdom,Europe,536000000,536.0,2100000000.0,2.1,100000000.0,100.0,21.0,Mega Round ($500M+),3.92,2,7,8,True,Making video as easy as writing a doc,"Enterprises for training, marketing, sales enablement, internal communications. Used by 60,000+ enterprises including 90% of Fortune 100"
Hugging Face,2016,10,"Brooklyn, New York, United States",United States,North America,395000000,395.0,4500000000.0,4.5,,,,Late Stage ($150M-$500M),11.39,3,7,0,True,"AI community, building the future",
ElevenLabs,2022,4,"London, UK (with offices in New York, Warsaw, Bengaluru, Tokyo)",United Kingdom,Europe,281000000,281.0,6600000000.0,6.6,330000000.0,330.0,20.0,Late Stage ($150M-$500M),23.49,2,8,13,True,The voice of AI,"Media companies (Washington Post, TIME), gaming (Epic Games, Fortnite), publishing (HarperCollins), customer service, audiobooks, video dubbing. Used by 41% of Fortune 500"
Typeface,2022,4,"Palo Alto, California, United States",United States,North America,165000000,165.0,1000000000.0,1.0,8000000.0,8.0,,Late Stage ($150M-$500M),6.06,1,6,0,True,Reimagine the content lifecycle - Personalized Marketing AI Platform for Enterprises,
Moonvalley,2023,3,"Toronto, Canada (with offices in Los Angeles and London)",United Kingdom,Europe,154000000,154.0,,,,,,Late Stage ($150M-$500M),,5,6,7,False,The world's first production-grade AI generative videography platform built on licensed content,"Professional filmmakers, Hollywood studios, brand designers, creative professionals seeking ethically-trained AI video models with licensed content. Strategic investors include CAA and Comcast Ventures"
Higgsfield AI,2023,3,"Los Angeles, CA",United States,North America,138000000,138.0,1300000000.0,1.3,200000000.0,200.0,6.5,Growth Stage ($50M-$150M),9.42,3,8,7,True,Where ideas transform into videos,"Social media marketers (85% of usage), brands, agencies, performance marketers, and content creators. Focus on B2B commercial video production at scale"
Pika,2023,3,"Mountain View, California",United States,North America,135000000,135.0,470000000.0,0.47,7600000.0,7.6,61.8,Growth Stage ($50M-$150M),3.48,2,11,9,False,An idea-to-video platform that brings your creativity to motion,"Creative professionals, casual creators experimenting with AI, social media content creators, and professionals integrating AI into video workflows. 500,000+ users generating millions of videos weekly"
Jasper,2021,5,"Austin, Texas, United States",United States,North America,131000000,131.0,1500000000.0,1.5,55000000.0,55.0,,Growth Stage ($50M-$150M),11.45,3,6,0,True,AI platform purpose-built for better marketing outputs & outcomes,
Twelve Labs,2021,5,"Seattle, WA / San Francisco, CA",United States,North America,107000000,107.0,,,,,,Growth Stage ($50M-$150M),,5,6,6,False,Bringing human-like video understanding to any application,"Enterprise developers, businesses building video applications, media companies, content platforms, and anyone needing video understanding AI. Open API platform for integration into any application"
HeyGen,2020,6,"Los Angeles, CA (formerly Shenzhen, China)",China,Asia Pacific,74000000,74.0,500000000.0,0.5,100000000.0,100.0,5.0,Growth Stage ($50M-$150M),6.76,2,8,8,False,"Diverse & engaging videos, made 10x faster & cheaper by AI","Businesses of all sizes, from small companies to Fortune 500. Used by 40,000+ paying customers for marketing, sales enablement, internal communications, training, and product demos"
Bria,2020,6,"Tel Aviv, Israel / New York, NY",Israel,Middle East,65000000,65.0,,,,,,Growth Stage ($50M-$150M),,2,6,0,False,Your AI. Your Rules. - Controllable Visual AI for Enterprise,
